작업,담당자,상위 작업,선행 작업,일정,진행 상태,프로젝트,하위 작업,회의록,후속 작업
4월 밋앤핵 계획,,,,"April 15, 2025 → April 22, 2025",완료,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,주간 회의 250415 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250415%201d338e82116680bdbf73f70f22417197.md),"활동 자료 준비 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%99%9C%EB%8F%99%20%EC%9E%90%EB%A3%8C%20%EC%A4%80%EB%B9%84%201dd38e82116680079c36cc0e0f30ae19.md), 발표 자료 준비 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%B0%9C%ED%91%9C%20%EC%9E%90%EB%A3%8C%20%EC%A4%80%EB%B9%84%201dd38e82116680eeb775c64c1482da51.md), 밋앤핵 홍보글 작성 및 게시 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%B0%8B%EC%95%A4%ED%95%B5%20%ED%99%8D%EB%B3%B4%EA%B8%80%20%EC%9E%91%EC%84%B1%20%EB%B0%8F%20%EA%B2%8C%EC%8B%9C%201dd38e8211668014ae9df4e25498fe9a.md), 행사 사후 설문 작성 및 배포 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%96%89%EC%82%AC%20%EC%82%AC%ED%9B%84%20%EC%84%A4%EB%AC%B8%20%EC%9E%91%EC%84%B1%20%EB%B0%8F%20%EB%B0%B0%ED%8F%AC%201dd38e8211668090903ce6c040fb28b6.md), 밋앤핵 후기 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%B0%8B%EC%95%A4%ED%95%B5%20%ED%9B%84%EA%B8%B0%20%EC%9E%91%EC%84%B1%201dd38e82116680e9ab9ac968e27bd32a.md)"
활동 자료 준비,"Geunhee Lee, Eunsoo Lee, Soobin",,4월 밋앤핵 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/4%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%20%EA%B3%84%ED%9A%8D%201d138e821166801b929acb9af62e33d4.md),"April 23, 2025 → April 26, 2025",완료,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,,
발표 자료 준비,"Geunhee Lee, Eunsoo Lee",,4월 밋앤핵 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/4%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%20%EA%B3%84%ED%9A%8D%201d138e821166801b929acb9af62e33d4.md),"April 22, 2025 → April 26, 2025",완료,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,,
밋앤핵 홍보글 작성 및 게시,"클루KLOU, Geunhee Lee",,4월 밋앤핵 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/4%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%20%EA%B3%84%ED%9A%8D%201d138e821166801b929acb9af62e33d4.md),"April 23, 2025",완료,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,,
행사 사후 설문 작성 및 배포,클루KLOU,,4월 밋앤핵 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/4%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%20%EA%B3%84%ED%9A%8D%201d138e821166801b929acb9af62e33d4.md),"April 23, 2025 → April 28, 2025",취소,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,,
밋앤핵 후기 작성,"Hanbyul Jo, Geunhee Lee",,4월 밋앤핵 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/4%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%20%EA%B3%84%ED%9A%8D%201d138e821166801b929acb9af62e33d4.md),"April 28, 2025 → April 30, 2025",완료,25년 4월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/25%EB%85%84%204%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%201c738e82116680b4b63ecc1af1a6f5d8.md),,,
서비스 참고 사례 수집,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee",서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),서비스 기획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EA%B8%B0%ED%9A%8D%2020038e82116680a6930ddb959a13ab21.md),"May 28, 2025 → June 10, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
수요자 특성 구체화,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee",서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),서비스 기획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EA%B8%B0%ED%9A%8D%2020038e82116680a6930ddb959a13ab21.md),"May 28, 2025 → June 10, 2025",중단,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
서비스 기획,"Geunhee Lee, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee",서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"May 28, 2025 → June 3, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,"서비스 참고 사례 수집 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%B0%B8%EA%B3%A0%20%EC%82%AC%EB%A1%80%20%EC%88%98%EC%A7%91%2020038e82116680779475d9d0fb7c6ea8.md), 수요자 특성 구체화 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1%20%EA%B5%AC%EC%B2%B4%ED%99%94%2020038e82116680969460c67db1f377e1.md)"
전문가 간담회 질문 작성,"Geunhee Lee, Da Young Kim, Yuna Shin, fluid, rebane, Hanbyul Jo, Haewon Park, TAE SOO KIM, Yrina, doran@parti.coop, Soobin, Eunsoo Lee, 클루KLOU, Ohyeon KWEON",전문가 간담회 (6월 밋앤핵) (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%84%EB%AC%B8%EA%B0%80%20%EA%B0%84%EB%8B%B4%ED%9A%8C%20(6%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5)%201c538e82116680eaa406fcfe83007157.md),,"June 18, 2025 → June 24, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
6월 행사 홍보,"Geunhee Lee, Eunsoo Lee, 클루KLOU",전문가 간담회 (6월 밋앤핵) (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%84%EB%AC%B8%EA%B0%80%20%EA%B0%84%EB%8B%B4%ED%9A%8C%20(6%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5)%201c538e82116680eaa406fcfe83007157.md),,"June 18, 2025 → June 23, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,주간 회의 250617 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250617%2021538e8211668039b798c71202901943.md),
간담회용 자료 정리,"Geunhee Lee, Eunsoo Lee",서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"June 19, 2025 8:00 PM (GMT+9)",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
간담회 전문가 피드백 반영,,서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"June 25, 2025 → June 29, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
서비스 청사진 작성,"Geunhee Lee, Eunsoo Lee",서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"June 11, 2025 → June 17, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
서비스 사용자 흐름도 작성,Geunhee Lee,서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"June 11, 2025 → June 15, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
전문가 섭외,"Soobin, 클루KLOU",전문가 간담회 (6월 밋앤핵) (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%84%EB%AC%B8%EA%B0%80%20%EA%B0%84%EB%8B%B4%ED%9A%8C%20(6%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5)%201c538e82116680eaa406fcfe83007157.md),,"June 10, 2025 → June 16, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
해커톤 결과 정리,,,,"April 16, 2025",완료,Students@AI Seoul 2025 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/Students@AI%20Seoul%202025%201c738e82116680b1917ddee76276a50e.md),,,
데이터 작업 - 재난 물품 데이터 정리,Eunsoo Lee,서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"July 15, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,주간 회의 250805 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250805%2024638e82116680278f35cc1073285232.md),
데이터 작업 - 재난 종류 + 물품 데이터 만들기,클루KLOU,서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"July 15, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,주간 회의 250805 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250805%2024638e82116680278f35cc1073285232.md),
와이어프레임,Yuna Shin,서비스 프로토타입 제작 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9E%85%20%EC%A0%9C%EC%9E%91%201cf38e8211668010bc43f71d681043ae.md),,"July 15, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
사업 계획서 작성,Geunhee Lee,,,"February 24, 2026 → March 4, 2026",완료,풀꽃 사업 지원 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%92%80%EA%BD%83%20%EC%82%AC%EC%97%85%20%EC%A7%80%EC%9B%90%2031938e82116680f29a33fd1100872963.md),,,
사업 계획서 제출,Geunhee Lee,,,"March 4, 2026 11:59 PM (GMT+9)",완료,풀꽃 사업 지원 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%92%80%EA%BD%83%20%EC%82%AC%EC%97%85%20%EC%A7%80%EC%9B%90%2031938e82116680f29a33fd1100872963.md),,,
포스터 선정 방식 논의,"Geunhee Lee, Eunsoo Lee",,,"February 24, 2026",완료,홍대 포스터 선정 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%99%8D%EB%8C%80%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%2031c38e8211668052a240fe10d96d182c.md),,,포스터 설문 작업 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A4%EB%AC%B8%20%EC%9E%91%EC%97%85%2031c38e82116680008034d7a061f90130.md)
포스터 설문 작업,"Geunhee Lee, Eunsoo Lee",,포스터 선정 방식 논의 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%20%EB%B0%A9%EC%8B%9D%20%EB%85%BC%EC%9D%98%2031c38e82116680b8b4e4ef5c635a88ab.md),"March 6, 2026 → March 8, 2026",완료,홍대 포스터 선정 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%99%8D%EB%8C%80%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EC%84%A0%EC%A0%95%2031c38e8211668052a240fe10d96d182c.md),,,설문 배포 및 수집 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%A4%EB%AC%B8%20%EB%B0%B0%ED%8F%AC%20%EB%B0%8F%20%EC%88%98%EC%A7%91%2031c38e82116680de98cff590761562e0.md)
밋앤핵 아이디어,Geunhee Lee,,,"March 6, 2026",완료,26년 3월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/26%EB%85%84%203%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%2031c38e821166807bb5b1e5f7231d1efc.md),,,밋앤핵 자료 만들기 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%B0%8B%EC%95%A4%ED%95%B5%20%EC%9E%90%EB%A3%8C%20%EB%A7%8C%EB%93%A4%EA%B8%B0%2031c38e82116680e583e2d10e930d86fd.md)
밋앤핵 자료 만들기,Geunhee Lee,,밋앤핵 아이디어 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%B0%8B%EC%95%A4%ED%95%B5%20%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%2031c38e821166805ab129ea8eae4dcdd6.md),"March 7, 2026 → March 8, 2026",완료,26년 3월 밋앤핵 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/26%EB%85%84%203%EC%9B%94%20%EB%B0%8B%EC%95%A4%ED%95%B5%2031c38e821166807bb5b1e5f7231d1efc.md),,,
